"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\admin.py", "Python", 8, 1, 1, 10
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\apps.py", "Python", 3, 0, 3, 6
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\models.py", "Python", 33, 1, 6, 40
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\tests.py", "Python", 1, 1, 2, 4
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\urls.py", "Python", 21, 0, 1, 22
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\views.py", "Python", 240, 6, 77, 323
"Total", "-", 306, 9, 91, 406
